Customer ID,avgSpent,Nsessions,avgItemSession
12358.0,35.89,1,91.0
12359.0,48.57,2,97.0
12417.0,23.575,2,74.5
12422.0,6.65,1,60.0
12437.0,73.07000000000001,1,260.0
12440.0,45.61,1,251.0
12443.0,39.33,1,170.0
12490.0,41.94,1,246.0
12510.0,34.15,1,116.0
12523.0,8.74,1,26.0
12540.0,20.75,1,60.0
12577.0,37.4,1,77.0
12583.0,44.78,1,260.0
12586.0,50.55,1,148.0
12600.0,13.385,2,31.5
12609.0,48.0,1,132.0
12664.0,3.75,1,24.0
12682.0,43.36333333333334,3,136.33333333333334
12708.0,29.34,1,89.0
12709.0,28.76,1,216.0
12712.0,42.14,1,192.0
12714.0,75.03,1,210.0
12747.0,34.76666666666667,3,47.0
12759.0,44.15,1,228.0
12779.0,40.18,1,266.0
12785.0,47.0,1,108.0
12820.0,12.3,1,50.0
12826.0,15.75,1,96.0
12836.0,79.74,1,83.0
12839.0,28.96333333333333,3,169.33333333333334
12842.0,3.8,1,48.0
12843.0,35.76,1,47.0
12854.0,114.69,1,303.0
12867.0,55.82,1,232.0
12872.0,92.49,1,227.0
12913.0,10.09,1,72.0
12917.0,0.85,1,10.0
12920.0,10.75,2,29.0
12924.0,9.016666666666667,3,41.0
12933.0,68.31,1,63.0
12937.0,26.965000000000003,2,93.5
12941.0,42.83,1,249.0
12948.0,5.55,2,34.0
12956.0,15.35,2,85.0
12975.0,105.59,1,114.0
12979.0,109.61,1,231.0
12989.0,12.65,1,66.0
12992.0,27.3,1,21.0
13000.0,106.4,1,166.0
13004.0,53.870000000000005,1,144.0
13008.0,34.49,1,75.0
13019.0,38.475,2,65.0
13021.0,28.1,1,136.0
13025.0,25.75,1,97.0
13026.0,34.93,1,244.0
13037.0,44.18,1,159.0
13039.0,19.75,1,45.0
13047.0,25.950000000000003,1,94.0
13050.0,51.79,1,135.0
13070.0,16.6,1,76.0
13074.0,28.6,1,88.0
13077.0,50.215,2,150.0
13082.0,1.805,2,9.0
13087.0,44.620000000000005,1,76.0
13091.0,25.45,1,146.0
13093.0,12.67,2,56.0
13097.0,87.32666666666667,3,173.66666666666666
13110.0,101.29,1,80.0
13111.0,23.45,1,132.0
13114.0,50.89,1,71.0
13136.0,70.85,1,249.0
13141.0,35.05,1,91.0
13148.0,75.7,1,100.0
13154.0,60.15,1,152.0
13162.0,40.870000000000005,2,192.5
13173.0,35.15,1,110.0
13175.0,39.75,1,200.0
13190.0,10.0,1,58.0
13202.0,22.55,1,104.0
13203.0,28.74,1,162.0
13208.0,39.45,1,56.0
13211.0,24.54,1,62.0
13225.0,40.95,1,338.0
13234.0,117.28,1,116.0
13266.0,27.17,1,140.0
13267.0,37.125,2,111.5
13269.0,10.22,3,81.33333333333333
13289.0,44.35,1,113.0
13313.0,17.615,2,109.0
13317.0,62.53,1,228.0
13319.0,36.71666666666666,3,151.66666666666666
13329.0,24.72,1,237.0
13373.0,93.34,1,258.0
13381.0,1.45,1,12.0
13382.0,40.67,1,118.0
13393.0,24.295,2,80.5
13394.0,33.22,1,165.0
13403.0,7.1,1,44.0
13405.0,4.25,1,6.0
13416.0,23.450000000000003,1,66.0
13418.0,32.1,1,152.0
13426.0,22.15,2,206.5
13427.0,6.1,1,96.0
13442.0,59.0,1,39.0
13448.0,85.18,2,259.0
13455.0,33.835,2,60.5
13457.0,9.85,1,68.0
13462.0,15.46,1,140.0
13468.0,34.95666666666667,3,125.66666666666669
13473.0,21.15,1,50.0
13481.0,41.7,1,114.0
13485.0,13.775,2,49.5
13487.0,36.2,1,25.0
13491.0,35.196666666666665,3,112.66666666666669
13495.0,20.525,2,140.5
13498.0,23.3,1,121.0
13510.0,49.77,1,135.0
13520.0,36.27,1,181.0
13526.0,18.42,2,169.0
13531.0,55.85,1,126.0
13542.0,80.045,2,35.5
13557.0,36.95,2,95.0
13571.0,38.55,1,28.0
