Customer ID,TotItem,avgSpent,Nsessions,TotSpent,Max,Min,DistinctItem,MaxItem,MinItem,avgItemSession,MaxSessionsMonth,MeanTimeGap
12346.0,44,31.22666666666667,6,187.36,142.31,4.5,25,19,5,7.333333333333332,6,33.0
12348.0,469,8.295,2,16.59,14.39,2.2,20,373,96,234.5,12,80.0
12351.0,260,36.71,1,36.71,36.71,36.71,20,260,260,260.0,11,0.0
12352.0,187,20.925,2,41.85,29.4,12.45,17,110,77,93.5,12,12.0
12353.0,192,38.78,1,38.78,38.78,38.78,20,192,192,192.0,10,0.0
12355.0,661,39.98333333333333,6,239.9,103.7,8.5,70,253,28,110.16666666666669,10,49.0
12356.0,622,29.816666666666663,3,89.45,40.13,11.45,46,383,48,207.3333333333333,11,7.0
12358.0,297,48.17,2,96.34,75.74000000000002,20.6,32,232,65,148.5,11,146.0
12359.0,484,61.355,4,245.42,69.39,42.85,69,246,52,121.0,10,67.0
12360.0,987,38.77333333333333,3,116.32,67.07,14.6,68,535,100,329.0,12,146.0
12361.0,141,11.3,3,33.9,13.5,8.25,13,60,37,47.0,9,111.0
12368.0,146,30.7,1,30.7,30.7,30.7,10,146,146,146.0,3,0.0
12373.0,313,40.6,2,81.2,42.15,39.05,29,204,109,156.5,4,8.0
12374.0,595,42.0,2,84.0,49.0,35.0,34,390,205,297.5,10,167.0
12376.0,57,18.55,1,18.55,18.55,18.55,7,57,57,57.0,10,0.0
12379.0,401,40.475,2,80.95,45.11,35.84,35,243,158,200.5,10,112.0
12386.0,94,21.45,1,21.45,21.45,21.45,7,94,94,94.0,8,0.0
12387.0,132,7.91,1,7.91,7.91,7.91,8,132,132,132.0,10,0.0
12388.0,503,66.89500000000001,2,133.79,71.42,62.37000000000001,36,266,237,251.5,9,107.0
12389.0,564,38.62,3,115.86,51.26,15.6,40,314,67,188.0,5,49.5
12391.0,799,96.6525,4,386.61,167.81,19.05,139,366,6,199.75,4,34.0
12392.0,69,16.35,1,16.35,16.35,16.35,5,69,69,69.0,4,0.0
12393.0,432,41.25,2,82.5,48.4,34.1,35,288,144,216.0,11,135.0
12399.0,525,16.62666666666667,3,49.88,20.05,14.69,31,205,150,175.0,11,100.0
12400.0,91,32.05,1,32.05,32.05,32.05,11,91,91,91.0,10,0.0
12402.0,483,21.48,5,107.4,26.6,13.95,38,166,62,96.6,12,59.25
12403.0,18,3.75,1,3.75,3.75,3.75,1,18,18,18.0,6,0.0
12406.0,730,45.42333333333333,3,136.27,67.03,19.1,35,366,88,243.3333333333333,11,96.5
12408.0,537,26.59333333333333,3,79.78,42.37,17.97,36,230,99,179.0,11,56.5
12410.0,126,27.37,1,27.37,27.37,27.37,12,126,126,126.0,7,0.0
12411.0,132,64.75,1,64.75,64.75,64.75,21,132,132,132.0,10,0.0
12412.0,806,30.506666666666664,3,91.52,42.64,7.16,42,350,124,268.6666666666667,9,104.5
12413.0,25,38.15,1,38.15,38.15,38.15,7,25,25,25.0,2,0.0
12414.0,120,3.12,1,3.12,3.12,3.12,5,120,120,120.0,2,0.0
12416.0,132,16.88,1,16.88,16.88,16.88,11,132,132,132.0,2,0.0
12417.0,950,31.65,10,316.5,58.04,13.22,105,198,26,95.0,12,38.55555555555557
12418.0,626,59.98333333333333,3,179.95,68.56,52.23,56,280,145,208.66666666666663,12,130.5
12419.0,217,16.720000000000002,2,33.44,30.49,2.95,19,205,12,108.5,11,28.0
12421.0,165,16.88,2,33.76,27.11,6.65,16,137,28,82.5,10,90.0
12422.0,929,29.2225,8,233.78,53.96,6.7,88,246,30,116.125,10,37.71428571428572
12423.0,597,39.81,3,119.43,48.8,27.19,49,332,80,199.0,12,56.0
12427.0,68,22.75,1,22.75,22.75,22.75,8,68,68,68.0,3,0.0
12429.0,809,28.092,5,140.46,61.17,2.55,49,403,12,161.8,11,13.75
12434.0,137,58.17,1,58.17,58.17,58.17,19,137,137,137.0,11,0.0
12435.0,765,41.19,3,123.57,51.1,33.8,43,328,137,255.0,12,57.0
12439.0,32,9.24,1,9.24,9.24,9.24,4,32,32,32.0,1,0.0
12440.0,73,28.83,1,28.83,28.83,28.83,9,73,73,73.0,3,0.0
12441.0,120,22.71,1,22.71,22.71,22.71,10,120,120,120.0,8,0.0
12445.0,144,55.34,1,55.34,55.34,55.34,20,144,144,144.0,10,0.0
12450.0,310,16.08,3,48.24,20.45,7.7,23,132,68,103.33333333333331,9,63.0
12455.0,454,28.290000000000006,3,84.87,44.48,12.63,36,228,101,151.33333333333334,11,113.5
12457.0,138,46.95,1,46.95,46.95,46.95,15,138,138,138.0,9,0.0
12458.0,474,41.85,2,83.7,50.21,33.49,42,283,191,237.0,9,29.0
12459.0,205,42.1,1,42.1,42.1,42.1,19,205,205,205.0,4,0.0
12460.0,162,34.01,1,34.01,34.01,34.01,14,162,162,162.0,9,0.0
12467.0,129,14.56,1,14.56,14.56,14.56,9,129,129,129.0,12,0.0
12470.0,93,61.65,1,61.65,61.65,61.65,21,93,93,93.0,1,0.0
12475.0,230,49.39,1,49.39,49.39,49.39,22,230,230,230.0,10,0.0
12480.0,842,55.91,3,167.73,87.9,30.39,68,370,210,280.6666666666667,8,45.5
