Customer ID,avgSpent,Nsessions,Max,Min,DistinctItem,avgItemSession,MaxSessionsMonth,MeanTimeGap
12347.0,51.73166666666666,6,92.67,13.54,82,275.3333333333333,10,55.6
12348.0,0.85,2,0.85,0.85,2,22.0,5,99.0
12349.0,200.75,1,200.75,200.75,64,547.0,11,0.0
12350.0,25.3,1,25.3,25.3,16,196.0,2,0.0
12352.0,30.64428571428571,7,53.2,12.55,50,71.71428571428571,9,44.66666666666666
12353.0,4.4,1,4.4,4.4,2,14.0,5,0.0
12354.0,141.04,1,141.04,141.04,45,389.0,4,0.0
12355.0,29.450000000000003,1,29.450000000000003,29.450000000000003,9,80.0,9,0.0
12356.0,34.245000000000005,2,43.25,25.24,33,274.0,8,198.0
12357.0,239.45,1,239.45,239.45,97,1603.0,6,0.0
12358.0,33.435,2,42.68,24.19,10,102.0,12,117.0
12359.0,173.84,4,305.62,29.26,175,369.0,12,90.0
12360.0,83.33666666666666,3,121.7,49.18,99,364.6666666666667,10,74.0
12361.0,18.35,1,18.35,18.35,9,90.0,2,0.0
12362.0,66.983,10,121.95,28.7,182,206.2,11,29.55555555555556
12363.0,26.31,2,36.5,16.12,22,186.0,11,74.0
12364.0,30.213333333333328,3,43.05,19.26,67,427.0,10,130.0
12365.0,43.870000000000005,1,43.870000000000005,43.870000000000005,20,172.0,2,0.0
12367.0,16.990000000000002,1,16.990000000000002,16.990000000000002,9,112.0,5,0.0
12370.0,86.105,2,102.87,69.34,61,334.5,10,16.0
12371.0,177.98,1,177.98,177.98,58,508.0,11,0.0
12372.0,33.373333333333335,3,45.93,21.53,33,226.66666666666663,11,131.0
12373.0,23.3,1,23.3,23.3,12,166.0,1,0.0
12374.0,69.55,1,69.55,69.55,30,335.0,11,0.0
12375.0,17.72,2,27.12,8.32,13,73.0,11,293.0
12377.0,68.83,1,68.83,68.83,32,332.0,1,0.0
12378.0,520.03,1,520.03,520.03,205,2079.0,2,0.0
12379.0,41.9,2,48.04,35.76,37,177.0,9,89.0
12380.0,59.695,4,79.48,26.56,71,221.0,11,45.0
12381.0,37.788,5,140.82,4.5,63,148.4,12,53.0
12383.0,20.3275,4,38.94,0.85,39,104.5,12,87.33333333333333
12384.0,44.795,2,51.66,37.93,21,57.5,11,34.0
12388.0,43.63666666666666,6,90.4,16.89,54,182.3333333333333,11,62.2
12390.0,58.45,1,58.45,58.45,26,308.0,9,0.0
12391.0,197.86,1,197.86,197.86,90,291.0,11,0.0
12393.0,33.675,4,53.3,5.9,45,154.5,11,97.0
12394.0,38.37,1,38.37,38.37,19,178.0,6,0.0
12395.0,23.504,10,41.260000000000005,9.25,64,95.3,12,28.55555555555556
12397.0,126.43,2,127.36,125.5,97,570.5,7,107.0
12398.0,128.31,1,128.31,128.31,82,1317.0,10,0.0
12399.0,14.6525,4,26.2,3.74,42,174.75,12,86.66666666666667
12401.0,9.7,1,9.7,9.7,2,7.0,9,0.0
12402.0,21.2,1,21.2,21.2,10,92.0,1,0.0
12403.0,9.1,1,9.1,9.1,2,22.0,10,0.0
12405.0,131.8,1,131.8,131.8,44,509.0,7,0.0
12406.0,104.425,2,108.4,100.45,85,757.0,11,72.0
12407.0,23.712,5,53.42,7.4,48,170.0,10,53.75
12408.0,38.896,5,57.81,12.8,75,211.4,7,38.0
12409.0,47.98666666666667,3,111.69,4.95,28,177.66666666666666,10,7.5
12410.0,43.97,1,43.97,43.97,16,185.0,4,0.0
12412.0,37.98666666666667,3,51.43,25.32,41,242.66666666666663,9,47.5
12413.0,32.49666666666666,3,56.15,19.23,25,92.0,6,26.0
12414.0,10.716666666666669,3,18.95,5.6,12,55.0,6,61.5
12415.0,37.95818181818181,11,118.91,0.42,110,117.8181818181818,11,27.3
12417.0,53.43125,8,95.36,32.24,126,153.375,10,39.85714285714285
12418.0,85.45,1,85.45,85.45,29,339.0,8,0.0
12420.0,76.45,1,76.45,76.45,22,190.0,7,0.0
12421.0,19.567500000000003,4,23.69,16.51,30,107.25,11,101.33333333333331
12422.0,24.8,3,36.03,14.52,37,121.33333333333331,6,78.0
12423.0,22.95142857142857,7,43.33,4.32,80,162.0,9,41.5
12424.0,30.98,2,36.01,25.950000000000003,21,128.0,6,0.0
12425.0,66.49,1,66.49,66.49,30,324.0,9,0.0
12426.0,83.14,1,83.14,83.14,28,253.0,5,0.0
12427.0,24.15,2,42.78,5.52,16,77.0,11,39.0
12428.0,83.22125,8,266.63,1.9,237,378.0,11,45.0
