,StockCode,Price09,Price10,Price11,DistinctCust,TotItemBought,DistinctSession,AvgItemSess,MeanItemMonth,Category
0,10002,0.9916666666666666,1.001439393939394,1.0194594594594597,152,2597,314,8.270700636942674,72.13888888888889,8
1,10002R,5.17,5.06,,1,4,3,1.3333333333333333,0.1111111111111111,6
2,10080,0.85,0.85,0.3931818181818182,24,289,27,10.703703703703704,8.027777777777779,8
3,10109,0.42,,,1,4,1,4.0,0.1111111111111111,6
4,10120,0.364,0.2344444444444444,0.21,42,244,60,4.066666666666666,6.777777777777778,4
5,10123C,0.8666666666666667,0.8143478260869565,0.65,37,266,60,4.433333333333334,7.388888888888889,6
6,10123G,1.7,0.8086666666666668,,11,46,15,3.066666666666667,1.2777777777777777,8
7,10125,0.95625,1.0287499999999998,0.8532000000000001,84,1433,157,9.127388535031848,39.80555555555556,8
8,10133,0.903125,0.933181818181818,0.653416149068323,142,2433,265,9.181132075471698,67.58333333333333,6
9,10134,1.3966666666666667,1.2793023255813951,,45,295,50,5.9,8.194444444444445,6
10,10135,1.61,1.4003267973856208,1.4444444444444444,169,2370,308,7.694805194805195,65.83333333333333,6
11,10138,0.5111111111111111,0.4554545454545454,,13,165,20,8.25,4.583333333333333,6
12,11001,2.212,1.913909090909091,1.871157894736842,115,2113,221,9.56108597285068,58.69444444444444,8
13,15030,0.29,0.29,0.29,22,194,25,7.76,5.388888888888889,1
14,15034,0.57125,0.3881521739130434,0.4098095238095238,105,2441,205,11.907317073170733,67.80555555555556,6
15,15036,1.125,0.9404301075268818,1.1281012658227847,261,8876,792,11.207070707070708,246.5555555555556,1
16,15039,0.9714285714285714,1.0970212765957448,1.268780487804878,115,1592,269,5.9182156133829,44.22222222222222,1
17,15044A,4.495,3.538432835820896,3.6884,111,914,242,3.776859504132232,25.38888888888889,6
18,15044B,4.274285714285715,3.595423728813559,3.518,91,670,180,3.7222222222222223,18.61111111111111,6
19,15044C,5.1571428571428575,3.786788321167884,3.8396385542168674,98,717,226,3.172566371681416,19.916666666666668,6
20,15044D,4.495,3.492403100775194,3.350512820512821,99,882,215,4.102325581395349,24.5,6
21,15056BL,5.733333333333333,5.809030837004405,5.910995850622406,308,3637,745,4.881879194630873,101.02777777777776,1
22,15056N,5.616666666666667,5.841116173120729,5.911250000000001,330,3994,800,4.9925,110.94444444444444,1
23,15056P,5.95,5.776358695652175,5.930252100840336,177,1161,311,3.733118971061093,32.25,1
24,15060B,3.75,3.740857142857143,4.793425925925925,173,1060,302,3.509933774834437,29.444444444444443,15
25,16011,0.21,0.2090384615384615,0.21,70,1660,83,20.0,46.11111111111112,1
26,16012,0.21,0.2086842105263157,0.21,55,1457,65,22.41538461538461,40.47222222222222,1
27,16014,0.3866666666666666,0.416,0.4171428571428571,38,665,63,10.555555555555555,18.47222222222222,1
