Country,Customer ID,Description,Invoice,InvoiceDate,Price,Quantity,StockCode
United Kingdom,13085.0,15CM CHRISTMAS GLASS BALL 20 LIGHTS,489434,2009-01-12 07:45:00,6.95,12,85048
United Kingdom,13085.0,PINK CHERRY LIGHTS,489434,2009-01-12 07:45:00,6.75,12,79323P
United Kingdom,13085.0, WHITE CHERRY LIGHTS,489434,2009-01-12 07:45:00,6.75,12,79323W
United Kingdom,13085.0,STRAWBERRY CERAMIC TRINKET BOX,489434,2009-01-12 07:45:00,1.25,24,21232
United Kingdom,13085.0,PINK DOUGHNUT TRINKET POT ,489434,2009-01-12 07:45:00,1.65,24,22064
United Kingdom,13085.0,SAVE THE PLANET MUG,489434,2009-01-12 07:45:00,1.25,24,21871
United Kingdom,13085.0,FANCY FONT HOME SWEET HOME DOORMAT,489434,2009-01-12 07:45:00,5.95,10,21523
United Kingdom,13085.0,CAT BOWL ,489435,2009-01-12 07:46:00,2.55,12,22350
United Kingdom,13085.0,"DOG BOWL , CHASING BALL DESIGN",489435,2009-01-12 07:46:00,3.75,12,22349
United Kingdom,13085.0,HEART MEASURING SPOONS LARGE,489435,2009-01-12 07:46:00,1.65,24,22195
United Kingdom,13085.0,LUNCHBOX WITH CUTLERY FAIRY CAKES ,489435,2009-01-12 07:46:00,2.55,12,22353
United Kingdom,13078.0,DOOR MAT BLACK FLOCK ,489436,2009-01-12 09:06:00,5.95,10,48173C
United Kingdom,13078.0,LOVE BUILDING BLOCK WORD,489436,2009-01-12 09:06:00,5.45,18,21755
United Kingdom,13078.0,HOME BUILDING BLOCK WORD,489436,2009-01-12 09:06:00,5.95,3,21754
United Kingdom,13078.0,ASSORTED COLOUR BIRD ORNAMENT,489436,2009-01-12 09:06:00,1.69,16,84879
United Kingdom,13078.0, PEACE WOODEN BLOCK LETTERS,489436,2009-01-12 09:06:00,6.95,3,22119
United Kingdom,13078.0,CHRISTMAS CRAFT WHITE FAIRY ,489436,2009-01-12 09:06:00,1.45,12,22142
United Kingdom,13078.0,HEART IVORY TRELLIS LARGE,489436,2009-01-12 09:06:00,1.65,12,22296
United Kingdom,13078.0,HEART FILIGREE DOVE LARGE,489436,2009-01-12 09:06:00,1.65,12,22295
United Kingdom,13078.0,FULL ENGLISH BREAKFAST PLATE,489436,2009-01-12 09:06:00,3.39,16,22109
United Kingdom,13078.0,PIZZA PLATE IN BOX,489436,2009-01-12 09:06:00,3.75,4,22107
United Kingdom,13078.0,SET OF 3 BLACK FLYING DUCKS,489436,2009-01-12 09:06:00,4.65,12,35004B
United Kingdom,13078.0,AREA PATROLLED METAL SIGN,489436,2009-01-12 09:06:00,2.1,12,82582
United Kingdom,13078.0,PLEASE ONE PERSON  METAL SIGN,489436,2009-01-12 09:06:00,2.1,12,21181
United Kingdom,13078.0,BATH BUILDING BLOCK WORD,489436,2009-01-12 09:06:00,5.95,3,21756
United Kingdom,13078.0,CLASSIC WHITE FRAME,489436,2009-01-12 09:06:00,2.95,6,21333
United Kingdom,13078.0,SMALL MARSHMALLOWS PINK BOWL,489436,2009-01-12 09:06:00,1.25,8,84596F
United Kingdom,13078.0,BISCUITS SMALL BOWL LIGHT BLUE,489436,2009-01-12 09:06:00,1.25,8,84596L
United Kingdom,13078.0,SCOTTIE DOG HOT WATER BOTTLE,489436,2009-01-12 09:06:00,4.25,24,22111
United Kingdom,15362.0,CHRISTMAS CRAFT HEART DECORATIONS,489437,2009-01-12 09:08:00,2.1,6,22143
United Kingdom,15362.0,CHRISTMAS CRAFT HEART STOCKING ,489437,2009-01-12 09:08:00,2.1,6,22145
United Kingdom,15362.0,PARTY CONE CHRISTMAS DECORATION ,489437,2009-01-12 09:08:00,0.85,12,22130
United Kingdom,15362.0,PEACE SMALL WOOD LETTERS,489437,2009-01-12 09:08:00,6.75,2,21364
United Kingdom,15362.0,CINAMMON & ORANGE WREATH,489437,2009-01-12 09:08:00,6.75,2,21351
United Kingdom,15362.0,EUCALYPTUS & PINECONE  WREATH,489437,2009-01-12 09:08:00,6.75,2,21352
United Kingdom,15362.0,FLORAL BLUE MONSTER,489437,2009-01-12 09:08:00,4.25,3,20695
United Kingdom,15362.0,RETRO COFFEE MUGS ASSORTED,489437,2009-01-12 09:08:00,1.25,12,37370
United Kingdom,15362.0,INFLATABLE POLITICAL GLOBE ,489437,2009-01-12 09:08:00,0.85,12,10002
United Kingdom,15362.0,STRIPES DESIGN MONKEY DOLL,489437,2009-01-12 09:08:00,2.55,6,84507B
United Kingdom,15362.0,BLUE PADDED SOFT MOBILE,489437,2009-01-12 09:08:00,4.25,3,20703
United Kingdom,15362.0,PACK OF 6 SKULL PAPER CUPS,489437,2009-01-12 09:08:00,0.65,12,21987
United Kingdom,15362.0,PACK OF 20 SKULL PAPER NAPKINS,489437,2009-01-12 09:08:00,0.85,12,21989
United Kingdom,15362.0,HANGING HEART ZINC T-LIGHT HOLDER,489437,2009-01-12 09:08:00,0.85,12,84970S
United Kingdom,15362.0,PINK BLUE FELT CRAFT TRINKET BOX,489437,2009-01-12 09:08:00,1.25,12,20971
United Kingdom,15362.0,FELTCRAFT DOLL ROSIE,489437,2009-01-12 09:08:00,2.95,6,22271
United Kingdom,15362.0,FELTCRAFT DOLL MARIA,489437,2009-01-12 09:08:00,2.95,6,22272
United Kingdom,15362.0,FELTCRAFT DOLL EMILY,489437,2009-01-12 09:08:00,2.95,6,22274
United Kingdom,15362.0,VINTAGE SNAKES & LADDERS,489437,2009-01-12 09:08:00,3.75,4,21912
United Kingdom,15362.0,SCOTTIE DOG HOT WATER BOTTLE,489437,2009-01-12 09:08:00,4.95,3,22111
United Kingdom,15362.0,CHOCOLATE HOT WATER BOTTLE,489437,2009-01-12 09:08:00,4.95,3,22112
United Kingdom,18102.0,DINOSAURS  WRITING SET ,489438,2009-01-12 09:24:00,0.98,28,21329
France,12682.0,CHRISTMAS PUDDING TRINKET POT ,489439,2009-01-12 09:28:00,1.45,12,22065
France,12682.0,BAKING SET 9 PIECE RETROSPOT ,489439,2009-01-12 09:28:00,4.95,9,22138
France,12682.0,RETRO SPOT TEA SET CERAMIC 11 PC ,489439,2009-01-12 09:28:00,4.95,9,22139
France,12682.0,LUNCHBOX WITH CUTLERY RETROSPOT ,489439,2009-01-12 09:28:00,2.55,12,22352
France,12682.0,BLACK/BLUE DOTS RUFFLED UMBRELLA,489439,2009-01-12 09:28:00,5.95,3,85014A
France,12682.0,RED/WHITE DOTS RUFFLED UMBRELLA,489439,2009-01-12 09:28:00,5.95,3,85014B
France,12682.0,WRAP ENGLISH ROSE ,489439,2009-01-12 09:28:00,0.42,25,16161P
France,12682.0,WRAP BLUE RUSSIAN FOLKART,489439,2009-01-12 09:28:00,0.42,25,16169N
France,12682.0,SET OF THREE VINTAGE GIFT WRAPS,489439,2009-01-12 09:28:00,1.95,6,21491
France,12682.0,RETRO SPORT PARTY BAG + STICKER SET,489439,2009-01-12 09:28:00,1.65,8,22333
France,12682.0,ASSORTED CAKES FRIDGE MAGNETS,489439,2009-01-12 09:28:00,0.65,12,85216
France,12682.0, VINTAGE DESIGN GIFT TAGS,489439,2009-01-12 09:28:00,0.85,12,21493
France,12682.0,PARTY CONE CHRISTMAS DECORATION ,489439,2009-01-12 09:28:00,0.85,24,22130
France,12682.0,PINK DOUGHNUT TRINKET POT ,489439,2009-01-12 09:28:00,1.65,12,22064
France,12682.0,RED TOADSTOOL LED NIGHT LIGHT,489439,2009-01-12 09:28:00,1.65,24,21731
France,12682.0,SET/3 RUSSIAN DOLL STACKING TINS,489439,2009-01-12 09:28:00,4.95,6,85232B
France,12682.0,PACK 20 DOLLY PEGS,489439,2009-01-12 09:28:00,0.85,12,84691
France,12682.0,ASSORTED COLOUR MINI CASES,489439,2009-01-12 09:28:00,7.95,2,20749
United Kingdom,18087.0,CAT BOWL ,489440,2009-01-12 09:43:00,2.55,8,22350
United Kingdom,18087.0,"DOG BOWL , CHASING BALL DESIGN",489440,2009-01-12 09:43:00,3.75,8,22349
United Kingdom,18087.0,BIRD DECORATION RED SPOT,489441,2009-01-12 09:44:00,0.72,12,22321
United Kingdom,18087.0,BAKING SET 9 PIECE RETROSPOT ,489441,2009-01-12 09:44:00,4.25,6,22138
United Kingdom,13635.0,UNION JACK GUNS & ROSES  DOORMAT,489442,2009-01-12 09:46:00,6.75,2,21955
United Kingdom,13635.0,SCOTTIE DOG HOT WATER BOTTLE,489442,2009-01-12 09:46:00,4.95,3,22111
United Kingdom,13635.0,HEART IVORY TRELLIS LARGE,489442,2009-01-12 09:46:00,1.65,12,22296
United Kingdom,13635.0,YELLOW + BROWN BEAR FELT PURSE KIT,489442,2009-01-12 09:46:00,1.25,12,84899E
United Kingdom,13635.0,FELTCRAFT DOLL ROSIE,489442,2009-01-12 09:46:00,2.95,6,22271
United Kingdom,13635.0,FELTCRAFT DOLL MARIA,489442,2009-01-12 09:46:00,2.95,6,22272
